"Tabla","Filas","Columnas","ClavePrimaria"
"VPrecioEspecial","0","7","TipoDoc|nDoc|Articulo|Acabado"
"VPresupuestosLinEtiq","0","44","nLinea"
"VPresupuestosIVAResumen","0","11","nDoc|TipoIVA"
"RepresentantesMensajes","0","6","IdMensaje"
"SeriesAsocV2","0","13","nLinea"
"RepresentantesProdWebAcceso","0","6","Representante|OtroRepresentante"
"RepresentantesAgZonas","0","2","Representante|AgZonaComercial"
"Representantes","0","27","Codigo"
"VPresupuestosGastos","0","4","nLinea"
"RepresentantesComCat","0","3","Representante|ComisCateg"
"ProveedoresPlazoEnt","0","4","Proveedor|Articulo|Acabado"
"VOptiConfig","0","14","TipoDoc|nDoc|Articulo|Acabado|AcaTonalidad"
"VOrdenesF","0","50","Numero"
"VOfertasPrecioIncrCompF","0","6","nOferta|Articulo|Acabado|AcaTonalidad"
"TiposDocumento","0","20","Codigo"
"VOfertasPrecioEsp","0","5","nOferta|Articulo|Acabado|AcaTonalidad"
"TarifasGuardadasLineas","0","10","Cliente|NumeroTarifa|Articulo|Acabado"
"VOrdenesFLin","0","12","nLinea"
"VPackingList","0","29","Id"
"VOrdenesFLimiteArticulos","0","2","Articulo"
"TarifasGuardadas","0","4","Cliente|NumeroTarifa"
"VOrdenesFcortes","0","10","nLinea"
"TiposVenta","0","3","Codigo"
"TiposRetencion","0","5","Codigo"
"VOfertasDtoArtCMNaca","0","5","nOferta|CadenaDeClasificacion|Acabado"
"Trabajadores","0","62","Codigo"
"tmpArticulosSeries","0","2","codArticulo|codSerie"
"VOfertasDtoEstrCMNaca","0","5","nOferta|CadenaDeClasificacion|Acabado"
"TiposImpuestoRetenido","0","3","Codigo"
"TiposIDfiscal","0","2","Codigo"
"VOfertasMuliplos","0","5","nOferta|Articulo|Acabado"
"TiposIVAarticulos","0","11","nLinea"
"VOfertasMetrajeMinimo","0","4","nOferta|Articulo|Acabado"
"VPackingListDocumentosLin","0","25","nLinea"
"VPackingListPlantillasDescripcion","0","3","Codigo"
"TarDinArticuloGruposIncrementos","0","2","GrupoIncrementos"
"TarDinArticuloTipos","0","6","TipoArticulo"
"VPackingListDocumentos","0","6","numPackingList|TipoDoc|nDoc"
"VPackingListResumenPartidaArancelaria","0","7","numPackingList|PartidaArancelaria"
"StockContenedoresHist","0","11","nLinea"
"StockContenedores","0","37","Id"
"TrabajadoresFasesObCon","0","3","Trabajador|MOFase"
"VPackingListTiposBulto","0","2","Codigo"
"VPackingListTiposMercancia","0","2","Codigo"
"TarDinIncrementoTonalidad","0","5","TipoArticulo|TamañoArticulo|AcaTonalidad"
"TarDinIncrementoGrupoIncrementos","0","5","TipoArticulo|TamañoArticulo|GrupoIncrementos"
"VPackingListCodigosIncoterm","0","2","Codigo"
"VPackingListBultos","0","15","Id"
"VPackingListBultosLin","0","9","nLinea"
"TarDinGruposAcabados","0","3","GrupoAcabados"
"TarDinClienteDescuentos","0","10","nLinea"
"TarDinClienteArticulosTipos","0","9","Cliente|TipoArticulo"
"TarDinClienteDescuentosVariacion","0","8","nLinea"
"TarDinClientePrecios","0","9","nLinea"
"TarDinClienteGruposAca","0","6","nLinea"
"ProveedoresDtoSubFam","0","5","Proveedor|Familia|Subfamilia"
"MOFases","0","68","codigo"
"WDocumentosEstados","0","2","Codigo"
"WDocumentosComplementos","0","12","IdDocumento|IdLinea|CodigoEstructura"
"MOFasesObjetivoPorHora","0","5","Fase|ArticuloObjetivo"
"WDocumentos","0","79","IdDocumento"
"WDocumentosImagenes","0","7","IdImagen"
"WebServiceRegistroSincronizacion","0","7","nLinea"
"MarcasComerciales","0","2","Codigo"
"WDocumentosTiposImagenes","0","1","Descripcion"
"WDocumentosLineas","0","134","IdLinea"
"WDocumentosLineasDetalle","0","17","IdLineaDetalle"
"WClientesFinales","0","35","IdClienteFinal"
"ObCostePrevisto","0","4","id"
"WClientesConfig","0","32","Cliente"
"VStockDisp","0","28","nLinea"
"WCategoriasAca","0","6","IdDocumento|IdLinea|Estructura|Categoria"
"ObConceptos","0","6","Codigo"
"MOSubfasesCamposUsrSQL","0","5","Fase|Subfase|NumeroCampo"
"MOSubfases","0","11","Fase|Codigo"
"WClientesFinalesDtoFamEstr","0","3","IdClienteFinal|FamiliaEstructuras"
"ObCategorias","0","6","Codigo"
"WClientesFinalesDtoFamArt","0","3","IdClienteFinal|FamiliaArticulos"
"WIncidencias","0","8","IdWIncidencia"
"WTarifaMargenFamArt","0","4","Cliente|Tarifa|FamiliaArticulos"
"WTarifaMargenFamEstr","0","4","Cliente|Tarifa|FamiliaEstructuras"
"WOpcionsSeleccionadas","0","6","IdDocumento|IdLinea|Estructura|NumeroGrupo"
"ImpuestosCompraConfig","0","15","nLinea"
"ImpuestosCompraCalculo","0","11","Impuesto"
"WTarifas","0","6","Cliente|Tarifa"
"Zonas","0","3","Codigo"
"UOptimizacionM2","0","21","nLin"
"ImpexDatosTablas","0","4","Impex|Tipo|Tabla"
"WVariables","0","4","IdDocumento|IdLinea|SimboloVariable"
"Impuestos","0","12","Codigo"
"ManufacturasAplic","0","5","nLinea"
"Manufacturas","0","15","Codigo"
"ManufacturasIncr","0","9","nLinea"
"ManufacturasLin","0","9","nLinea"
"ManufacturasIncrCliente","0","10","nLinea"
"WIncidenciasImagenes","0","6","IdImagen"
"ImpuestosVentaConfig","0","21","nLinea"
"ImpuestosTipoArticulo","0","2","Codigo"
"WMedidasDA","0","5","IdDocumento|IdLinea|Estructura|NumeroDimension"
"WLiquidacionesCobro","0","11","NumeroLiquidacion"
"WLiquidacionesCobroLineas","0","6","IdLinea"
"PlazoEntregaEstr","0","14","nLinea"
"VPryDtosMuliplos","0","6","TipoDoc|nDoc|Articulo|Acabado"
"VPryDtosMetrajeMinimo","0","5","TipoDoc|nDoc|Articulo|Acabado"
"VPryDtosCLAsInteriorizados","0","5","TipoDoc|nDoc|nLinea"
"VPryDtosDescuentoEsp","0","7","TipoDoc|nDoc|Articulo|Acabado|AcaTonalidad"
"VPryDtosPrecioEsp","0","6","TipoDoc|nDoc|Articulo|Acabado|AcaTonalidad"
"VPryDtosPrecioM2","0","8","TipoDoc|nDoc|Estructura"
"VRegistroCambios","0","12","nLinea"
"PermisosFrm","0","7","Nivel|idForm|tabName|nTab"
"PlazoEntregaArt","0","7","nLinea"
"PlantillasEMail","0","6","TipoDoc|Delegacion|Nombre"
"ProveedoresDtoCMNaca","0","5","Proveedor|CadenaDeClasificacion|Acabado"
"ProveedoresDtoCMN","0","4","Proveedor|CadenaDeClasificacion"
"VPresupuestosLinImpuestos","0","10","nVLinea|CodigoImpuesto"
"ProveedoresDtoFamAca","0","6","Proveedor|Familia|Subfamilia|Acabado"
"VPresupuestosLinHD","0","62","nLinea"
"ProveedoresDtoArt","0","5","Proveedor|Articulo|Acabado"
"ProveedoresContactos","0","7","Codigo|NumeroContacto"
