"Columna","ConValor","PctUso","Distintos","Muestra"
"CompFejeMotorSN","0","0","0",""
"prProtegePVPsn","0","0","0",""
"CompFejeDiametro","0","0","0",""
"soldCodigoSold","0","0","0",""
"CompFpesoKgM2","0","0","0",""
"ABCstock","0","0","0",""
"DAcompCamPerf","0","0","0",""
"DAPerfilInt","0","0","0",""
"FaseEntrega","0","0","0",""
"DAcompPVP","0","0","0",""
"DAcompPVPigualSN","0","0","0",""
"CodigoTron","0","0","0",""
"MultMetMinAcaSN","0","0","0",""
"OptiDtoSierra","0","0","0",""
"CompFnOpcAcc","0","0","0",""
"CompFguiaCajSN","0","0","0",""
"CompFmotorAnchoMin","0","0","0",""
"SoldadoraSN","0","0","0",""
"PesoMLmaximo","0","0","0",""
"CompFguiDtoLam","0","0","0",""
"PesoMLmedio","0","0","0",""
"PesoMLaplicable","0","0","0",""
"PesoMLultimo","0","0","0",""
